id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240171327740203009,Wed Mar 18 07:01:00 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#TravelBan keeping you home? Enjoy learning about Iceland's mystical #culture from #home 
https://t.co/Ivs4424UN9… https://t.co/Y4i8gLqJkv",keeping home Enjoy learning Iceland 's mystical,"Sentiment(polarity=0.4, subjectivity=0.5)",0.4,0.5,en,0,0,ElisabetRut1,False,"TravelBan, culture, home",,,
1240171323168559104,Wed Mar 18 07:00:59 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @SevenShepherd: ""And in the morning, [It will be] foul weather to day: for the sky is red and lowring. O [ye] hypocrites, ye can discern…",`` And morning It foul weather day sky red lowring O ye hypocrites ye discern…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3,mjwood16,,,SevenShepherd,,
1240171289165389824,Wed Mar 18 07:00:51 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Through this time of fear, we as the human race needs to band as one and exude as mush positive energy as ever! Our… https://t.co/pZhxOTxb1K",Through time fear human race needs band one exude mush positive energy ever Our…,"Sentiment(polarity=0.11363636363636363, subjectivity=0.3227272727272727)",0.11363636363636363,0.3227272727272727,en,0,0,true_mixed,False,,,"Tallahassee, FL",
1240171287521243136,Wed Mar 18 07:00:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @nursechill81: Dearest @MrRickyWhittle,

You ARE #Light &amp; #Love.
ALWAYS. 💛

#thankyou #bethelight #tuesdaymotivation #youmaketodaybetter…",Dearest You ARE amp ALWAYS …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,5,joye2009,,"Light, Love, thankyou, bethelight, tuesdaymotivation, youmaketodaybetter","nursechill81, MrRickyWhittle",In my mind. I’m bored. 😐,
1240171280520921088,Wed Mar 18 07:00:49 +0000 2020,"<a href=""http://www.DynamicTweets.com"" rel=""nofollow"">Dynamic Tweets</a>",Overcome it #hope and #love you are #saved https://t.co/sZVvjfDzAQ https://t.co/Axna4j4sdq,Overcome,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,frugalmaniac,False,"hope, love, saved",,"MN, USA",
1240171255929733121,Wed Mar 18 07:00:43 +0000 2020,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",Read all about the similarities of dark chocolate and red wine and you choose which is the one to go by… https://t.co/BSQOt4tSVX,Read similarities dark chocolate red wine choose one go by…,"Sentiment(polarity=-0.075, subjectivity=0.2)",-0.075,0.2,en,0,0,carole_armitage,False,,,Yorkshire & London,
1240171237571211271,Wed Mar 18 07:00:38 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Biancovita Bridal | Collection 2020
#biancovita #biancovita2020 #bvbride #bridal #bridalstore #wedding… https://t.co/cwyehpyGI8",Biancovita Bridal Collection …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Bianco_Vita,False,"biancovita, biancovita2020, bvbride, bridal, bridalstore, wedding",,İzmir,
1240171231263031298,Wed Mar 18 07:00:37 +0000 2020,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>","Story Party Tour | True Dating Stories Told Live 😂
Think your dating is bad? Think again.
For tickets, podcast, you… https://t.co/R1rY0gyhAS",Story Party Tour True Dating Stories Told Live Think dating bad Think For tickets podcast you…,"Sentiment(polarity=-0.07121212121212117, subjectivity=0.6055555555555555)",-0.07121212121212117,0.6055555555555555,en,0,0,storypartytour,False,,,"San Francisco, CA",
1240171183980654592,Wed Mar 18 07:00:26 +0000 2020,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Visualize #LOVE flowing through you.. #JoyTrain #Joy #Love #Wisdom #Kindness RT @Voieinterieure https://t.co/0WiFuiAfeN,Visualize flowing you.. RT,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,KariJoys,False,"LOVE, JoyTrain, Joy, Love, Wisdom, Kindness",Voieinterieure,Global,
1240171163957055490,Wed Mar 18 07:00:21 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",❤R∈TW∈∈T: if you NEED MORE FOLLOWERS❤ Join #TeamBossyGals RT share our #Love➽ https://t.co/YrMQKD7oOt #fashion,R∈TW∈∈T NEED MORE FOLLOWERS Join RT share,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,0,ArtBubblesArt,False,"TeamBossyGals, Love, fashion",,South Africa,
